"country","year","sex","age","suicides_no","population","suicides.100k.pop","gdp_for_year....","gdp_per_capita....","generation","NV.SRV.TOTL.ZS","NV.IND.TOTL.ZS","NV.IND.MANF.ZS","NV.AGR.TOTL.ZS"
"Albania",1999,"male","35-54 years",31,391100,7.93,3414760915,1127,"Boomers",46.8340419392508,16.5367430578412,4.53252298272745,25.9187455195517
"Albania",1999,"male","25-34 years",19,242300,7.84,3414760915,1127,"Generation X",46.8340419392508,16.5367430578412,4.53252298272745,25.9187455195517
"Albania",1999,"male","55-74 years",14,185200,7.56,3414760915,1127,"Silent",46.8340419392508,16.5367430578412,4.53252298272745,25.9187455195517
"Albania",1999,"female","35-54 years",5,373600,1.34,3414760915,1127,"Boomers",46.8340419392508,16.5367430578412,4.53252298272745,25.9187455195517
"Albania",1999,"female","5-14 years",1,365200,0.27,3414760915,1127,"Millenials",46.8340419392508,16.5367430578412,4.53252298272745,25.9187455195517
"Albania",1999,"male","5-14 years",0,391300,0,3414760915,1127,"Millenials",46.8340419392508,16.5367430578412,4.53252298272745,25.9187455195517
"Albania",1999,"male","15-24 years",24,250600,9.58,3414760915,1127,"Generation X",46.8340419392508,16.5367430578412,4.53252298272745,25.9187455195517
"Albania",1999,"female","75+ years",4,42400,9.43,3414760915,1127,"G.I. Generation",46.8340419392508,16.5367430578412,4.53252298272745,25.9187455195517
"Albania",1999,"female","15-24 years",19,296800,6.4,3414760915,1127,"Generation X",46.8340419392508,16.5367430578412,4.53252298272745,25.9187455195517
"Albania",1999,"female","25-34 years",13,276500,4.7,3414760915,1127,"Generation X",46.8340419392508,16.5367430578412,4.53252298272745,25.9187455195517
"Albania",2000,"female","75+ years",2,37800,5.29,3632043908,1299,"G.I. Generation",44.302961498327,19.3956891374484,4.31784580575779,24.5154120419235
"Albania",2000,"male","55-74 years",10,177400,5.64,3632043908,1299,"Silent",44.302961498327,19.3956891374484,4.31784580575779,24.5154120419235
"Albania",2000,"female","15-24 years",6,263900,2.27,3632043908,1299,"Generation X",44.302961498327,19.3956891374484,4.31784580575779,24.5154120419235
"Albania",2000,"male","5-14 years",1,374900,0.27,3632043908,1299,"Millenials",44.302961498327,19.3956891374484,4.31784580575779,24.5154120419235
"Albania",2000,"female","5-14 years",0,324700,0,3632043908,1299,"Millenials",44.302961498327,19.3956891374484,4.31784580575779,24.5154120419235
"Albania",2000,"male","75+ years",1,24900,4.02,3632043908,1299,"G.I. Generation",44.302961498327,19.3956891374484,4.31784580575779,24.5154120419235
"Albania",2000,"female","55-74 years",0,168000,0,3632043908,1299,"Silent",44.302961498327,19.3956891374484,4.31784580575779,24.5154120419235
"Albania",2000,"female","35-54 years",5,332200,1.51,3632043908,1299,"Boomers",44.302961498327,19.3956891374484,4.31784580575779,24.5154120419235
"Albania",2000,"male","25-34 years",17,232000,7.33,3632043908,1299,"Generation X",44.302961498327,19.3956891374484,4.31784580575779,24.5154120419235
"Albania",2000,"female","25-34 years",3,245800,1.22,3632043908,1299,"Generation X",44.302961498327,19.3956891374484,4.31784580575779,24.5154120419235
"Albania",2000,"male","15-24 years",5,240000,2.08,3632043908,1299,"Generation X",44.302961498327,19.3956891374484,4.31784580575779,24.5154120419235
"Albania",2000,"male","35-54 years",4,374700,1.07,3632043908,1299,"Boomers",44.302961498327,19.3956891374484,4.31784580575779,24.5154120419235
"Albania",2001,"female","35-54 years",12,370191,3.24,4060758804,1451,"Boomers",44.9430205750654,21.7357737789933,4.09904001959361,22.7161641958722
"Albania",2001,"male","75+ years",1,31044,3.22,4060758804,1451,"Silent",44.9430205750654,21.7357737789933,4.09904001959361,22.7161641958722
"Albania",2001,"male","15-24 years",10,256039,3.91,4060758804,1451,"Millenials",44.9430205750654,21.7357737789933,4.09904001959361,22.7161641958722
"Albania",2001,"male","25-34 years",22,206484,10.65,4060758804,1451,"Generation X",44.9430205750654,21.7357737789933,4.09904001959361,22.7161641958722
"Albania",2001,"female","25-34 years",4,222771,1.8,4060758804,1451,"Generation X",44.9430205750654,21.7357737789933,4.09904001959361,22.7161641958722
"Albania",2001,"male","55-74 years",11,196670,5.59,4060758804,1451,"Silent",44.9430205750654,21.7357737789933,4.09904001959361,22.7161641958722
"Albania",2001,"female","15-24 years",9,271359,3.32,4060758804,1451,"Millenials",44.9430205750654,21.7357737789933,4.09904001959361,22.7161641958722
"Albania",2001,"female","55-74 years",6,189799,3.16,4060758804,1451,"Silent",44.9430205750654,21.7357737789933,4.09904001959361,22.7161641958722
"Albania",2001,"male","5-14 years",6,321556,1.87,4060758804,1451,"Millenials",44.9430205750654,21.7357737789933,4.09904001959361,22.7161641958722
"Albania",2001,"male","35-54 years",34,378826,8.98,4060758804,1451,"Boomers",44.9430205750654,21.7357737789933,4.09904001959361,22.7161641958722
"Albania",2001,"female","75+ years",2,47254,4.23,4060758804,1451,"Silent",44.9430205750654,21.7357737789933,4.09904001959361,22.7161641958722
"Albania",2001,"female","5-14 years",2,307356,0.65,4060758804,1451,"Millenials",44.9430205750654,21.7357737789933,4.09904001959361,22.7161641958722
"Albania",2002,"male","15-24 years",15,263067,5.7,4435078648,1573,"Millenials",43.7765154121089,23.10636959577,4.06654283252579,22.0251140879353
"Albania",2002,"female","15-24 years",14,275970,5.07,4435078648,1573,"Millenials",43.7765154121089,23.10636959577,4.06654283252579,22.0251140879353
"Albania",2002,"female","35-54 years",15,375113,4,4435078648,1573,"Boomers",43.7765154121089,23.10636959577,4.06654283252579,22.0251140879353
"Albania",2002,"male","25-34 years",23,206286,11.15,4435078648,1573,"Generation X",43.7765154121089,23.10636959577,4.06654283252579,22.0251140879353
"Albania",2002,"male","35-54 years",35,382139,9.16,4435078648,1573,"Boomers",43.7765154121089,23.10636959577,4.06654283252579,22.0251140879353
"Albania",2002,"female","55-74 years",4,191712,2.09,4435078648,1573,"Silent",43.7765154121089,23.10636959577,4.06654283252579,22.0251140879353
"Albania",2002,"female","75+ years",1,47407,2.11,4435078648,1573,"Silent",43.7765154121089,23.10636959577,4.06654283252579,22.0251140879353
"Albania",2002,"male","55-74 years",13,198130,6.56,4435078648,1573,"Silent",43.7765154121089,23.10636959577,4.06654283252579,22.0251140879353
"Albania",2002,"male","5-14 years",1,319473,0.31,4435078648,1573,"Millenials",43.7765154121089,23.10636959577,4.06654283252579,22.0251140879353
"Albania",2002,"female","25-34 years",7,223685,3.13,4435078648,1573,"Generation X",43.7765154121089,23.10636959577,4.06654283252579,22.0251140879353
"Albania",2002,"male","75+ years",4,31007,12.9,4435078648,1573,"Silent",43.7765154121089,23.10636959577,4.06654283252579,22.0251140879353
"Albania",2002,"female","5-14 years",1,304850,0.33,4435078648,1573,"Millenials",43.7765154121089,23.10636959577,4.06654283252579,22.0251140879353
"Albania",2003,"female","15-24 years",14,283709,4.93,5746945913,2021,"Millenials",41.9114761161393,24.055608509483,4.12416007365678,21.9782570845961
"Albania",2003,"male","25-34 years",9,205433,4.38,5746945913,2021,"Generation X",41.9114761161393,24.055608509483,4.12416007365678,21.9782570845961
"Albania",2003,"female","25-34 years",9,222941,4.04,5746945913,2021,"Generation X",41.9114761161393,24.055608509483,4.12416007365678,21.9782570845961
"Albania",2003,"female","35-54 years",13,381760,3.41,5746945913,2021,"Boomers",41.9114761161393,24.055608509483,4.12416007365678,21.9782570845961
"Albania",2003,"male","55-74 years",16,201520,7.94,5746945913,2021,"Silent",41.9114761161393,24.055608509483,4.12416007365678,21.9782570845961
"Albania",2003,"male","35-54 years",28,386196,7.25,5746945913,2021,"Boomers",41.9114761161393,24.055608509483,4.12416007365678,21.9782570845961
"Albania",2003,"male","15-24 years",15,273235,5.49,5746945913,2021,"Millenials",41.9114761161393,24.055608509483,4.12416007365678,21.9782570845961
"Albania",2003,"male","75+ years",1,32667,3.06,5746945913,2021,"Silent",41.9114761161393,24.055608509483,4.12416007365678,21.9782570845961
"Albania",2003,"female","55-74 years",9,195699,4.6,5746945913,2021,"Silent",41.9114761161393,24.055608509483,4.12416007365678,21.9782570845961
"Albania",2003,"female","75+ years",6,49088,12.22,5746945913,2021,"Silent",41.9114761161393,24.055608509483,4.12416007365678,21.9782570845961
"Albania",2003,"female","5-14 years",0,298477,0,5746945913,2021,"Millenials",41.9114761161393,24.055608509483,4.12416007365678,21.9782570845961
"Albania",2003,"male","5-14 years",4,313204,1.28,5746945913,2021,"Millenials",41.9114761161393,24.055608509483,4.12416007365678,21.9782570845961
"Albania",2004,"male","35-54 years",39,391767,9.95,7314865176,2544,"Boomers",42.5804168880888,24.6655622675068,4.17755701844762,20.537486307981
"Albania",2004,"male","5-14 years",1,302181,0.33,7314865176,2544,"Millenials",42.5804168880888,24.6655622675068,4.17755701844762,20.537486307981
"Albania",2004,"female","55-74 years",3,203841,1.47,7314865176,2544,"Silent",42.5804168880888,24.6655622675068,4.17755701844762,20.537486307981
"Albania",2004,"female","5-14 years",3,286705,1.05,7314865176,2544,"Millenials",42.5804168880888,24.6655622675068,4.17755701844762,20.537486307981
"Albania",2004,"female","75+ years",3,50970,5.89,7314865176,2544,"Silent",42.5804168880888,24.6655622675068,4.17755701844762,20.537486307981
"Albania",2004,"female","35-54 years",17,391436,4.34,7314865176,2544,"Boomers",42.5804168880888,24.6655622675068,4.17755701844762,20.537486307981
"Albania",2004,"female","15-24 years",20,292268,6.84,7314865176,2544,"Millenials",42.5804168880888,24.6655622675068,4.17755701844762,20.537486307981
"Albania",2004,"male","75+ years",4,35526,11.26,7314865176,2544,"Silent",42.5804168880888,24.6655622675068,4.17755701844762,20.537486307981
"Albania",2004,"male","25-34 years",16,203938,7.85,7314865176,2544,"Generation X",42.5804168880888,24.6655622675068,4.17755701844762,20.537486307981
"Albania",2004,"male","55-74 years",10,207202,4.83,7314865176,2544,"Silent",42.5804168880888,24.6655622675068,4.17755701844762,20.537486307981
"Albania",2004,"male","15-24 years",19,286768,6.63,7314865176,2544,"Millenials",42.5804168880888,24.6655622675068,4.17755701844762,20.537486307981
"Albania",2004,"female","25-34 years",11,222389,4.95,7314865176,2544,"Generation X",42.5804168880888,24.6655622675068,4.17755701844762,20.537486307981
"Albania",2005,"male","55-74 years",0,214118,0,8158548717,2931,"Silent",43.5544783831139,25.0816065897088,4.42584401421105,18.8453087247237
"Albania",2005,"female","35-54 years",0,386513,0,8158548717,2931,"Boomers",43.5544783831139,25.0816065897088,4.42584401421105,18.8453087247237
"Albania",2005,"female","75+ years",0,53191,0,8158548717,2931,"Silent",43.5544783831139,25.0816065897088,4.42584401421105,18.8453087247237
"Albania",2005,"male","75+ years",0,38471,0,8158548717,2931,"Silent",43.5544783831139,25.0816065897088,4.42584401421105,18.8453087247237
"Albania",2005,"male","15-24 years",0,281675,0,8158548717,2931,"Millenials",43.5544783831139,25.0816065897088,4.42584401421105,18.8453087247237
"Albania",2005,"male","25-34 years",0,177519,0,8158548717,2931,"Generation X",43.5544783831139,25.0816065897088,4.42584401421105,18.8453087247237
"Albania",2005,"male","35-54 years",0,380242,0,8158548717,2931,"Boomers",43.5544783831139,25.0816065897088,4.42584401421105,18.8453087247237
"Albania",2005,"female","15-24 years",0,281922,0,8158548717,2931,"Millenials",43.5544783831139,25.0816065897088,4.42584401421105,18.8453087247237
"Albania",2005,"male","5-14 years",0,291367,0,8158548717,2931,"Millenials",43.5544783831139,25.0816065897088,4.42584401421105,18.8453087247237
"Albania",2005,"female","5-14 years",0,276559,0,8158548717,2931,"Millenials",43.5544783831139,25.0816065897088,4.42584401421105,18.8453087247237
"Albania",2005,"female","55-74 years",0,210998,0,8158548717,2931,"Silent",43.5544783831139,25.0816065897088,4.42584401421105,18.8453087247237
"Albania",2005,"female","25-34 years",0,190745,0,8158548717,2931,"Generation X",43.5544783831139,25.0816065897088,4.42584401421105,18.8453087247237
"Albania",2006,"female","25-34 years",0,186391,0,8992642349,3235,"Generation X",43.5234063031734,25.3080259185205,4.90492532097372,17.7083536239523
"Albania",2006,"female","55-74 years",0,215907,0,8992642349,3235,"Silent",43.5234063031734,25.3080259185205,4.90492532097372,17.7083536239523
"Albania",2006,"female","35-54 years",0,388746,0,8992642349,3235,"Boomers",43.5234063031734,25.3080259185205,4.90492532097372,17.7083536239523
"Albania",2006,"male","35-54 years",0,379076,0,8992642349,3235,"Boomers",43.5234063031734,25.3080259185205,4.90492532097372,17.7083536239523
"Albania",2006,"male","25-34 years",0,174092,0,8992642349,3235,"Generation X",43.5234063031734,25.3080259185205,4.90492532097372,17.7083536239523
"Albania",2006,"male","5-14 years",0,282678,0,8992642349,3235,"Millenials",43.5234063031734,25.3080259185205,4.90492532097372,17.7083536239523
"Albania",2006,"male","55-74 years",0,219360,0,8992642349,3235,"Silent",43.5234063031734,25.3080259185205,4.90492532097372,17.7083536239523
"Albania",2006,"male","75+ years",0,40782,0,8992642349,3235,"Silent",43.5234063031734,25.3080259185205,4.90492532097372,17.7083536239523
"Albania",2006,"male","15-24 years",0,286679,0,8992642349,3235,"Millenials",43.5234063031734,25.3080259185205,4.90492532097372,17.7083536239523
"Albania",2006,"female","15-24 years",0,283138,0,8992642349,3235,"Millenials",43.5234063031734,25.3080259185205,4.90492532097372,17.7083536239523
"Albania",2006,"female","5-14 years",0,267316,0,8992642349,3235,"Millenials",43.5234063031734,25.3080259185205,4.90492532097372,17.7083536239523
"Albania",2006,"female","75+ years",0,56011,0,8992642349,3235,"Silent",43.5234063031734,25.3080259185205,4.90492532097372,17.7083536239523
"Albania",2007,"male","75+ years",8,42366,18.88,10701011897,3863,"Silent",44.6398240133896,25.3403319220157,5.29679097861481,17.1536195739533
"Albania",2007,"female","25-34 years",8,183629,4.36,10701011897,3863,"Generation X",44.6398240133896,25.3403319220157,5.29679097861481,17.1536195739533
"Albania",2007,"male","55-74 years",14,224160,6.25,10701011897,3863,"Silent",44.6398240133896,25.3403319220157,5.29679097861481,17.1536195739533
"Albania",2007,"female","75+ years",3,57404,5.23,10701011897,3863,"Silent",44.6398240133896,25.3403319220157,5.29679097861481,17.1536195739533
"Albania",2007,"male","25-34 years",9,172494,5.22,10701011897,3863,"Generation X",44.6398240133896,25.3403319220157,5.29679097861481,17.1536195739533
"Albania",2007,"male","5-14 years",4,272497,1.47,10701011897,3863,"Generation Z",44.6398240133896,25.3403319220157,5.29679097861481,17.1536195739533
"Albania",2007,"male","35-54 years",29,378626,7.66,10701011897,3863,"Boomers",44.6398240133896,25.3403319220157,5.29679097861481,17.1536195739533
"Albania",2007,"female","55-74 years",9,221120,4.07,10701011897,3863,"Silent",44.6398240133896,25.3403319220157,5.29679097861481,17.1536195739533
"Albania",2007,"female","35-54 years",14,391811,3.57,10701011897,3863,"Boomers",44.6398240133896,25.3403319220157,5.29679097861481,17.1536195739533
"Albania",2007,"male","15-24 years",13,288349,4.51,10701011897,3863,"Millenials",44.6398240133896,25.3403319220157,5.29679097861481,17.1536195739533
"Albania",2007,"female","15-24 years",13,281080,4.63,10701011897,3863,"Millenials",44.6398240133896,25.3403319220157,5.29679097861481,17.1536195739533
"Albania",2007,"female","5-14 years",0,256808,0,10701011897,3863,"Generation Z",44.6398240133896,25.3403319220157,5.29679097861481,17.1536195739533
"Albania",2008,"female","15-24 years",20,276073,7.24,12881352688,4672,"Millenials",44.6991512719816,25.1610103305709,4.99779767478874,16.8370538440754
"Albania",2008,"male","35-54 years",37,377119,9.81,12881352688,4672,"Boomers",44.6991512719816,25.1610103305709,4.99779767478874,16.8370538440754
"Albania",2008,"male","55-74 years",21,228672,9.18,12881352688,4672,"Silent",44.6991512719816,25.1610103305709,4.99779767478874,16.8370538440754
"Albania",2008,"female","55-74 years",7,226448,3.09,12881352688,4672,"Silent",44.6991512719816,25.1610103305709,4.99779767478874,16.8370538440754
"Albania",2008,"female","35-54 years",19,393832,4.82,12881352688,4672,"Boomers",44.6991512719816,25.1610103305709,4.99779767478874,16.8370538440754
"Albania",2008,"male","75+ years",2,44574,4.49,12881352688,4672,"Silent",44.6991512719816,25.1610103305709,4.99779767478874,16.8370538440754
"Albania",2008,"female","75+ years",5,59369,8.42,12881352688,4672,"Silent",44.6991512719816,25.1610103305709,4.99779767478874,16.8370538440754
"Albania",2008,"male","25-34 years",21,172855,12.15,12881352688,4672,"Generation X",44.6991512719816,25.1610103305709,4.99779767478874,16.8370538440754
"Albania",2008,"male","5-14 years",7,262464,2.67,12881352688,4672,"Generation Z",44.6991512719816,25.1610103305709,4.99779767478874,16.8370538440754
"Albania",2008,"female","5-14 years",1,246288,0.41,12881352688,4672,"Generation Z",44.6991512719816,25.1610103305709,4.99779767478874,16.8370538440754
"Albania",2008,"male","15-24 years",11,286702,3.84,12881352688,4672,"Millenials",44.6991512719816,25.1610103305709,4.99779767478874,16.8370538440754
"Albania",2008,"female","25-34 years",9,182663,4.93,12881352688,4672,"Generation X",44.6991512719816,25.1610103305709,4.99779767478874,16.8370538440754
"Albania",2009,"female","15-24 years",0,270003,0,12044212904,4387,"Millenials",45.3172205438066,24.4137783931968,5.19758098355153,16.7943836018798
"Albania",2009,"female","5-14 years",0,236174,0,12044212904,4387,"Generation Z",45.3172205438066,24.4137783931968,5.19758098355153,16.7943836018798
"Albania",2009,"female","55-74 years",0,233302,0,12044212904,4387,"Silent",45.3172205438066,24.4137783931968,5.19758098355153,16.7943836018798
"Albania",2009,"male","75+ years",0,47331,0,12044212904,4387,"Silent",45.3172205438066,24.4137783931968,5.19758098355153,16.7943836018798
"Albania",2009,"female","35-54 years",0,394286,0,12044212904,4387,"Boomers",45.3172205438066,24.4137783931968,5.19758098355153,16.7943836018798
"Albania",2009,"male","35-54 years",0,374365,0,12044212904,4387,"Boomers",45.3172205438066,24.4137783931968,5.19758098355153,16.7943836018798
"Albania",2009,"male","5-14 years",0,253007,0,12044212904,4387,"Generation Z",45.3172205438066,24.4137783931968,5.19758098355153,16.7943836018798
"Albania",2009,"female","75+ years",0,61582,0,12044212904,4387,"Silent",45.3172205438066,24.4137783931968,5.19758098355153,16.7943836018798
"Albania",2009,"male","55-74 years",0,234570,0,12044212904,4387,"Silent",45.3172205438066,24.4137783931968,5.19758098355153,16.7943836018798
"Albania",2009,"female","25-34 years",0,182712,0,12044212904,4387,"Generation X",45.3172205438066,24.4137783931968,5.19758098355153,16.7943836018798
"Albania",2009,"male","15-24 years",0,283448,0,12044212904,4387,"Millenials",45.3172205438066,24.4137783931968,5.19758098355153,16.7943836018798
"Albania",2009,"male","25-34 years",0,174955,0,12044212904,4387,"Generation X",45.3172205438066,24.4137783931968,5.19758098355153,16.7943836018798
"Albania",2010,"male","35-54 years",20,371611,5.38,11926953259,4359,"Generation X",44.0255879707497,24.9374619346668,5.45212540687051,17.9558663972347
"Albania",2010,"male","25-34 years",9,179720,5.01,11926953259,4359,"Generation X",44.0255879707497,24.9374619346668,5.45212540687051,17.9558663972347
"Albania",2010,"male","75+ years",2,50767,3.94,11926953259,4359,"Silent",44.0255879707497,24.9374619346668,5.45212540687051,17.9558663972347
"Albania",2010,"male","15-24 years",10,279508,3.58,11926953259,4359,"Millenials",44.0255879707497,24.9374619346668,5.45212540687051,17.9558663972347
"Albania",2010,"female","25-34 years",6,183579,3.27,11926953259,4359,"Generation X",44.0255879707497,24.9374619346668,5.45212540687051,17.9558663972347
"Albania",2010,"female","35-54 years",12,394593,3.04,11926953259,4359,"Generation X",44.0255879707497,24.9374619346668,5.45212540687051,17.9558663972347
"Albania",2010,"female","55-74 years",7,241491,2.9,11926953259,4359,"Silent",44.0255879707497,24.9374619346668,5.45212540687051,17.9558663972347
"Albania",2010,"female","15-24 years",6,263581,2.28,11926953259,4359,"Millenials",44.0255879707497,24.9374619346668,5.45212540687051,17.9558663972347
"Albania",2010,"male","55-74 years",20,241852,8.27,11926953259,4359,"Silent",44.0255879707497,24.9374619346668,5.45212540687051,17.9558663972347
"Albania",2010,"female","5-14 years",2,223969,0.89,11926953259,4359,"Generation Z",44.0255879707497,24.9374619346668,5.45212540687051,17.9558663972347
"Albania",2010,"male","5-14 years",0,240939,0,11926953259,4359,"Generation Z",44.0255879707497,24.9374619346668,5.45212540687051,17.9558663972347
"Albania",2010,"female","75+ years",2,64415,3.1,11926953259,4359,"Silent",44.0255879707497,24.9374619346668,5.45212540687051,17.9558663972347
"Antigua and Barbuda",1998,"male","75+ years",0,954,0,727860593,10078,"G.I. Generation",74.4342183135643,12.6588025944488,1.66870628194586,1.66668086352476
"Antigua and Barbuda",1998,"female","35-54 years",0,9615,0,727860593,10078,"Boomers",74.4342183135643,12.6588025944488,1.66870628194586,1.66668086352476
"Antigua and Barbuda",1998,"female","75+ years",0,1476,0,727860593,10078,"G.I. Generation",74.4342183135643,12.6588025944488,1.66870628194586,1.66668086352476
"Antigua and Barbuda",1998,"female","5-14 years",0,8183,0,727860593,10078,"Millenials",74.4342183135643,12.6588025944488,1.66870628194586,1.66668086352476
"Antigua and Barbuda",1998,"female","55-74 years",0,3921,0,727860593,10078,"Silent",74.4342183135643,12.6588025944488,1.66870628194586,1.66668086352476
"Antigua and Barbuda",1998,"male","5-14 years",0,7706,0,727860593,10078,"Millenials",74.4342183135643,12.6588025944488,1.66870628194586,1.66668086352476
"Antigua and Barbuda",1998,"male","55-74 years",0,3213,0,727860593,10078,"Silent",74.4342183135643,12.6588025944488,1.66870628194586,1.66668086352476
"Antigua and Barbuda",1998,"male","25-34 years",0,7294,0,727860593,10078,"Generation X",74.4342183135643,12.6588025944488,1.66870628194586,1.66668086352476
"Antigua and Barbuda",1998,"male","35-54 years",0,9086,0,727860593,10078,"Boomers",74.4342183135643,12.6588025944488,1.66870628194586,1.66668086352476
"Antigua and Barbuda",1998,"female","15-24 years",0,6529,0,727860593,10078,"Generation X",74.4342183135643,12.6588025944488,1.66870628194586,1.66668086352476
"Antigua and Barbuda",1998,"female","25-34 years",0,8332,0,727860593,10078,"Generation X",74.4342183135643,12.6588025944488,1.66870628194586,1.66668086352476
"Antigua and Barbuda",1998,"male","15-24 years",0,5916,0,727860593,10078,"Generation X",74.4342183135643,12.6588025944488,1.66870628194586,1.66668086352476
"Antigua and Barbuda",1999,"female","35-54 years",0,10311,0,766198926,10378,"Boomers",74.1531257348188,13.5118204149809,1.68919007283969,1.66763610113066
"Antigua and Barbuda",1999,"female","75+ years",0,1451,0,766198926,10378,"G.I. Generation",74.1531257348188,13.5118204149809,1.68919007283969,1.66763610113066
"Antigua and Barbuda",1999,"male","15-24 years",0,5845,0,766198926,10378,"Generation X",74.1531257348188,13.5118204149809,1.68919007283969,1.66763610113066
"Antigua and Barbuda",1999,"male","25-34 years",0,7263,0,766198926,10378,"Generation X",74.1531257348188,13.5118204149809,1.68919007283969,1.66763610113066
"Antigua and Barbuda",1999,"male","35-54 years",0,9537,0,766198926,10378,"Boomers",74.1531257348188,13.5118204149809,1.68919007283969,1.66763610113066
"Antigua and Barbuda",1999,"male","5-14 years",0,7805,0,766198926,10378,"Millenials",74.1531257348188,13.5118204149809,1.68919007283969,1.66763610113066
"Antigua and Barbuda",1999,"male","55-74 years",0,3276,0,766198926,10378,"Silent",74.1531257348188,13.5118204149809,1.68919007283969,1.66763610113066
"Antigua and Barbuda",1999,"male","75+ years",0,947,0,766198926,10378,"G.I. Generation",74.1531257348188,13.5118204149809,1.68919007283969,1.66763610113066
"Antigua and Barbuda",1999,"female","15-24 years",0,6589,0,766198926,10378,"Generation X",74.1531257348188,13.5118204149809,1.68919007283969,1.66763610113066
"Antigua and Barbuda",1999,"female","25-34 years",0,8526,0,766198926,10378,"Generation X",74.1531257348188,13.5118204149809,1.68919007283969,1.66763610113066
"Antigua and Barbuda",1999,"female","5-14 years",0,8314,0,766198926,10378,"Millenials",74.1531257348188,13.5118204149809,1.68919007283969,1.66763610113066
"Antigua and Barbuda",1999,"female","55-74 years",0,3968,0,766198926,10378,"Silent",74.1531257348188,13.5118204149809,1.68919007283969,1.66763610113066
